ID,Par_No,K_Measure,T_Measure,K_Amplify,T_Amplify,K_Feed,T_Feed,T_Exciter,Efd_Max,Efd_Min,Note
1,1,1.000000,0.100000,20.000000,1.500000,0.100000,1.000000,1.500000,3.000000,0.000000,DC-HYD_
2,2,1.000000,0.010000,20.000000,0.050000,0.000000,1.000000,1.000000,5.000000,0.000000,AC-DB100_
3,3,1.000000,0.040000,20.000000,0.040000,0.040000,0.700000,2.000000,4.590000,0.000000,VR1_  8_
4,4,1.000000,0.040000,30.000000,0.040000,0.040000,0.700000,0.100000,3.270000,0.000000,VR1_  1
5,5,1.000000,0.040000,20.000000,0.040000,0.040000,0.700000,0.800000,4.720000,0.000000,VR1_  7
6,6,1.000000,0.040000,20.000000,0.040000,0.040000,0.700000,1.200000,5.080000,0.000000,VR1_  5
7,7,1.000000,0.040000,20.000000,0.040000,0.040000,0.700000,2.800000,2.900000,0.000000,VR1_  4
8,8,1.000000,0.040000,20.000000,0.040000,0.040000,0.700000,2.000000,5.000000,0.000000,VR1_ 10
9,9,1.000000,0.060000,20.000000,0.060000,0.000000,0.715000,0.500000,4.000000,0.000000,
10,10,1.000000,0.030000,20.000000,0.020000,0.000000,10.000000,0.020000,3.300000,0.000000,___30
11,11,1.000000,0.030000,21.500000,0.030000,0.000000,0.715000,0.500000,3.300000,0.000000,VR1_  8
12,12,1.000000,0.300000,20.000000,0.300000,0.040000,0.715000,0.500000,5.000000,0.000000,VR1_  2
13,13,1.000000,0.030000,50.000000,0.030000,0.040000,0.715000,0.500000,5.000000,0.000000,VR1_  1
14,14,1.000000,0.018000,33.599998,0.018000,0.040000,0.715000,1.060000,5.000000,0.000000,VR1_  3
15,15,1.000000,0.020000,30.000000,0.020000,0.000000,0.715000,0.060000,5.000000,0.000000,
16,16,1.000000,0.060000,20.000000,0.060000,0.040000,0.715000,0.500000,4.000000,0.000000,__2__
17,17,1.000000,0.030000,20.000000,0.030000,0.000000,0.715000,0.500000,3.300000,0.000000,_____
18,18,1.000000,0.030000,20.000000,0.020000,0.000000,10.000000,0.020000,4.000000,0.000000,___30
19,19,1.000000,0.100000,7.500000,0.200000,0.080000,0.020000,0.250000,3.300000,0.000000,__#1
20,20,1.000000,0.100000,2.500000,0.200000,0.500000,0.020000,0.500000,3.300000,0.000000,__#2
21,21,1.000000,0.100000,7.000000,0.350000,0.080000,0.020000,0.500000,3.300000,0.000000,__#3
22,22,1.000000,0.550000,11.900000,0.300000,0.019000,1.000000,0.150000,4.300000,-2.280000,
23,23,1.000000,0.300000,12.200000,0.320000,0.019000,1.000000,0.150000,4.300000,-2.300000,
24,24,1.000000,0.050000,270.000000,0.003000,0.067000,5.000000,1.260000,5.930000,-2.020000,
25,25,1.000000,0.300000,11.500000,0.500000,0.022000,1.000000,0.150000,4.300000,-2.280000,