ID,Par_No,Kap,Tap,Twp,T1p,T2p,T3p,T4p,Kav,Tav,Twv,T1v,T2v,T3v,T4v,Ta1,Tb1,KXc01,Kpp,Ttcsc,X_max,X_min,IN1,Ib,Xc0,Alfa,Death_P,Death_V,Iquit,Tquit,Iopen,Topen,Ta2,Tb2,Ta3,Tb3,Ta4,Tb4,Ta5,Tb5,MkCtrl,MkMOV,CapP,MaxMOVE,MaxMOVs,IoperMax,Trecon,dTrecon,IreconMax,dTreconMax,MkOpenRecon,Note
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.551100,0.109975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2.300000,55.000000,2.000000,0.000000,0.000000,0.950000,2.000000,0.000000,0,
2,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.823200,0.109975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2.300000,55.000000,2.000000,0.000000,0.000000,0.950000,2.000000,0.000000,0,
3,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.823200,0.109975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2.100000,67.400000,2.100000,0.000000,0.000000,0.950000,2.000000,0.000000,0,
4,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.772120,0.251029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2.300000,45.000000,2.000000,0.000000,0.000000,0.950000,2.000000,0.000000,0,
5,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.823200,0.109975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2.300000,65.000000,2.000000,0.000000,0.000000,0.950000,2.000000,0.000000,0,
6,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.823200,0.109975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2.300000,45.000000,2.000000,0.000000,0.000000,0.950000,2.000000,0.000000,0,
7,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.823200,0.109975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2.100000,53.200000,2.000000,0.000000,0.000000,0.950000,2.000000,0.000000,0,
8,8,0.050000,0.020000,2.000000,0.020000,0.400000,0.020000,0.400000,0.050000,0.010000,3.000000,0.100000,0.100000,0.100000,0.100000,1.100000,100000.000000,2.500000,2.007000,0.030000,-0.008000,-0.016650,20.000000,0.115470,-0.006660,0.874300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,2.300000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,
9,9,0.050000,0.020000,2.000000,0.020000,0.400000,0.020000,0.400000,0.050000,0.010000,3.000000,0.100000,0.100000,0.100000,0.100000,1.100000,1.000000,2.500000,2.007000,0.030000,-0.008000,-0.016970,20.000000,0.115470,-0.006690,0.874300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,2.300000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,
10,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,92.387589,0.054986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2.300000,55.000000,0.000000,0.000000,0.000000,1.200000,166.297668,0.000000,0,
11,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,92.387604,0.054986,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2.300000,29.500000,0.000000,0.000000,0.000000,1.200000,166.297684,0.000000,0,
12,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,92.387604,0.054986,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2.300000,26.500000,0.000000,0.000000,0.000000,1.200000,166.297684,0.000000,0,