ID,Par_No,Rc,Xc,Tr,Ka,Ta,KP,KI,Vrmax,Vrmin,IKP,IKI,Vfmax,Vfmin,Kt,Tt,Kifd,Tifd,EFD_MAX,EFD_MIN,Note
1,1,0.000000,-0.050000,0.010000,8.000000,0.010000,1.000000,1.667000,3.450000,-3.450000,3.000000,0.000000,6.416000,-5.577000,6.540000,0.010000,1.000000,0.010000,5.340000,-4.720000,bpaAVR14
2,2,0.000000,-0.050000,0.010000,8.000000,0.010000,1.000000,1.667000,3.450000,-3.450000,3.000000,0.000000,6.416000,-5.577000,6.540000,0.010000,1.000000,0.010000,5.250000,-4.580000,bpaAVR14
3,3,0.000000,-0.050000,0.010000,8.000000,0.010000,1.000000,1.667000,3.450000,-3.450000,3.000000,0.000000,6.416000,-5.577000,6.540000,0.010000,1.000000,0.010000,5.300000,-4.680000,bpaAVR14
4,4,0.000000,-0.212500,0.010000,5.000000,0.010000,4.000000,0.400000,10.000000,-10.000000,0.200000,0.400000,0.970000,-0.820000,7.510000,0.010000,1.000000,0.010000,999.000000,-7.510000,
5,5,0.000000,0.000000,0.010000,7.000000,0.010000,1.000000,1.430000,16.000000,-16.000000,4.000000,0.000000,5.520000,-5.040000,5.840000,0.010000,1.000000,0.010000,5.520000,-5.040000,31_
6,6,0.000000,-0.135100,0.010000,7.000000,0.010000,1.000000,1.430000,16.000000,-16.000000,4.000000,0.000000,4.880000,-4.490000,5.840000,0.010000,1.000000,0.010000,4.880000,-4.490000,24_25___
7,7,0.000000,0.000000,0.010000,7.000000,0.010000,1.000000,1.430000,16.000000,-16.000000,4.000000,0.000000,5.120000,-4.750000,5.840000,0.010000,1.000000,0.010000,5.120000,-4.750000,
8,8,0.000000,0.000000,0.010000,7.000000,0.010000,1.000000,1.430000,16.000000,-16.000000,4.000000,0.000000,5.800000,-5.120000,5.840000,0.010000,1.000000,0.010000,5.800000,-5.120000,___G4
9,9,0.000000,-0.010000,0.020000,3.900000,0.010000,1.400000,0.300000,9.770000,-8.760000,0.200000,0.600000,9.770000,-8.760000,20.000000,0.010000,1.000000,0.010000,9.770000,-8.760000,__#5_6
10,10,0.000000,-0.020000,0.010000,4.000000,0.010000,3.500000,2.000000,10.000000,-10.000000,0.400000,0.400000,0.970000,-0.770000,9.270000,0.010000,1.000000,0.010000,8.960000,-7.100000,___G3
11,11,0.000000,-0.020000,0.010000,3.500000,0.010000,3.500000,2.000000,8.900000,-7.060000,0.400000,0.400000,1.000000,-0.800000,8.960000,0.010000,1.000000,0.010000,7.240000,-5.700000,___G4
12,12,0.000000,0.000000,0.010000,6.000000,0.010000,1.000000,1.250000,3.580000,-3.580000,6.000000,0.000000,7.070000,-6.150000,7.100000,0.010000,1.000000,0.010000,5.930000,-5.540000,___#1
13,13,0.000000,0.000000,0.010000,6.000000,0.010000,1.000000,1.250000,3.580000,-3.580000,6.000000,0.000000,7.070000,-6.150000,7.100000,0.010000,1.000000,0.010000,5.890000,-5.380000,___#2
14,14,0.000000,0.000000,0.010000,6.000000,0.010000,1.000000,1.250000,3.580000,-3.580000,6.000000,0.000000,7.070000,-6.150000,7.100000,0.010000,1.000000,0.010000,5.900000,-5.340000,___#3
15,15,0.000000,0.000000,0.010000,6.000000,0.010000,1.000000,1.250000,3.580000,-3.580000,6.000000,0.000000,7.070000,-6.150000,7.100000,0.010000,1.000000,0.010000,5.900000,-5.290000,___#4
16,16,0.000000,0.000000,0.010000,7.000000,0.010000,1.000000,1.430000,2.700000,-2.700000,4.000000,0.000000,5.400000,-4.000000,6.500000,0.010000,0.450000,0.020000,5.400000,0.000000,___15
17,17,0.000000,0.000000,0.010000,3.500000,0.010000,3.500000,2.000000,8.900000,-7.060000,0.400000,0.400000,1.000000,-0.800000,8.960000,0.010000,1.000000,0.010000,7.240000,-5.700000,___G4
18,18,0.000000,-0.020000,0.010000,0.898000,0.010000,6.700000,5.370000,10.000000,-10.000000,0.800000,1.600000,10.000000,-10.000000,8.170000,0.010000,1.000000,0.010000,7.880000,-8.170000,___G1
19,19,0.000000,-0.020000,0.010000,0.898000,0.010000,6.700000,5.370000,10.000000,-10.000000,0.800000,1.600000,10.000000,-0.780000,8.170000,0.010000,1.000000,0.010000,7.880000,-8.170000,___G2
20,20,0.000000,-0.030000,0.010000,3.500000,0.010000,4.000000,4.000000,8.900000,-7.060000,0.600000,0.600000,1.000000,0.800000,9.210000,0.010000,1.000000,0.010000,7.240000,-5.670000,___G5
21,21,0.000000,0.000000,0.020000,3.000000,0.010000,4.200000,4.000000,7.550000,-5.900000,0.400000,0.200000,10.000000,-10.000000,20.000000,0.030000,1.000000,0.001000,7.550000,-5.900000,____1
22,22,0.000000,0.000000,0.020000,3.000000,0.010000,3.000000,4.000000,7.640000,-5.750000,0.400000,0.200000,10.000000,-10.000000,20.000000,0.030000,1.000000,0.001000,7.640000,-20.000000,____2
23,23,0.000000,0.000000,0.010000,1.500000,0.010000,3.000000,4.000000,6.820000,-5.790000,0.400000,0.200000,6.820000,-5.790000,14.000000,0.010000,1.000000,0.010000,6.820000,0.000000,___1_
24,24,0.000000,0.000000,0.010000,3.000000,0.010000,3.000000,0.600000,9.250000,-6.770000,0.400000,0.400000,0.780000,-0.230000,9.580000,0.010000,1.000000,0.010000,6.000000,-4.000000,___#1
25,25,0.000000,0.002000,0.020000,2.000000,0.010000,5.000000,3.500000,8.556000,-4.780000,0.320000,0.130000,0.650000,-0.220000,9.827000,0.010000,1.000000,0.010000,15.000000,-15.000000,___#1
26,26,0.000000,-0.020000,0.010000,4.000000,0.010000,3.000000,0.300000,10.000000,-10.000000,0.450000,0.500000,8.300000,-6.100000,5.300000,0.010000,1.000000,0.010000,6.210000,-6.210000,__#1
27,27,0.000000,-0.010000,0.020000,2.000000,0.010000,14.000000,0.600000,9.020000,-0.660000,3.000000,1.800000,9.440000,0.000000,1.000000,0.010000,1.000000,0.010000,8.470000,-0.599000,_____-_____
28,28,0.000000,-0.009000,0.020000,2.000000,0.010000,14.000000,0.600000,10.000000,-10.000000,3.000000,1.800000,8.510000,-0.580000,1.000000,0.010000,1.000000,0.010000,9999.000000,-9999.000000,_____
29,29,0.000000,-0.010000,0.020000,9.500000,0.001000,4.000000,0.400000,10.000000,-10.000000,0.450000,0.600000,9.520000,-6.970000,5.000000,0.020000,1.000000,0.001000,9.520000,0.000000,__1
30,30,0.000000,-0.020000,0.010000,8.000000,0.010000,3.000000,3.000000,6.740000,-5.350000,0.300000,0.250000,0.965600,-0.766400,6.980000,0.010000,1.000000,0.010000,6.740000,-6.740000,__#2
31,31,0.000000,-0.017300,0.010000,8.000000,0.010000,3.000000,3.000000,6.740000,-5.350000,0.300000,0.250000,0.965600,-0.766400,6.980000,0.010000,1.000000,0.010000,6.740000,0.000000,__#1
32,32,0.000000,0.000000,0.020000,15.000000,0.010000,2.000000,0.200000,6.000000,-6.000000,0.060000,0.022000,1.000000,-1.000000,20.000000,0.010000,1.000000,0.010000,8.110000,-6.880000,
33,33,0.000000,0.000000,0.020000,15.000000,0.010000,2.000000,0.200000,6.000000,-6.000000,0.060000,0.022000,1.000000,-1.000000,20.000000,0.010000,1.000000,0.010000,8.840000,-7.500000,
34,34,0.000000,-0.010000,0.010000,1.600000,0.010000,3.000000,4.000000,9.240000,-3.910000,0.400000,0.200000,9.240000,-3.910000,15.000000,0.010000,1.000000,0.010000,7.875000,-7.875000,___#4
35,35,0.000000,0.000000,0.010000,10.161300,0.010000,1.000000,1.428600,5.000000,-5.000000,1.968300,0.000000,10.000000,-10.000000,6.740000,0.020000,1.000000,0.020000,999.000000,-6.740000,
36,36,0.000000,0.000000,0.010000,10.161300,0.010000,1.000000,1.428600,5.000000,-5.000000,1.968300,0.000000,10.000000,-10.000000,6.770000,0.020000,1.000000,0.020000,999.000000,-6.770000,
37,37,0.000000,0.000000,0.010000,10.161300,0.020000,1.000000,1.428600,5.000000,-5.000000,1.968300,0.000000,10.000000,-10.000000,6.870000,0.020000,1.000000,0.020000,999.000000,-6.870000,
38,38,0.000000,0.000000,0.010000,10.161300,0.010000,1.000000,1.428600,5.000000,-5.000000,1.968300,0.000000,10.000000,-10.000000,6.870000,0.020000,1.000000,0.020000,999.000000,-6.870000,
39,39,0.000000,0.000000,0.010000,10.161300,0.010000,1.000000,1.428600,5.000000,-5.000000,1.968300,0.000000,10.000000,-10.000000,6.860000,0.020000,1.000000,0.020000,999.000000,-6.860000,
40,40,0.000000,0.000000,0.020000,11.100000,0.020000,1.000000,1.250300,5.000000,-5.000000,3.243200,0.000000,10.000000,-10.000000,6.211300,0.020000,0.000000,0.020000,999.000000,-6.211300,
41,41,0.000000,0.000000,0.020000,19.400000,0.020000,1.000000,1.000000,16.000000,-16.000000,0.927000,0.000000,0.996000,-0.866000,6.480000,0.020000,1.000000,0.020000,999.000000,-6.480000,