ID,Par_No,ntype,kh,t1,t2,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,Note
1,1,1,135.000000,1.000000,6.560000,0.899989,-0.224997,14.999813,-0.374995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
2,2,1,32.000000,1.000000,1.000000,0.849999,-0.141666,0.000000,-0.354166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
3,3,1,40.000000,1.000000,1.000000,0.849979,-0.254994,0.000000,-0.509987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,__
4,4,1,200.000000,1.000000,4.000000,0.850001,-0.265625,0.000000,-0.664064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
5,5,1,270.000000,1.000000,8.000000,0.800000,-0.200000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
6,6,1,360.000000,1.000000,7.610000,0.849858,-0.354108,0.000000,-0.814448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
7,7,1,3060.000000,1.000000,7.310000,0.849993,-0.203998,0.000000,-0.305998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
8,8,1,60.000000,1.000000,1.000000,0.550000,-0.100000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
9,9,1,380.000000,1.000000,6.860000,1.100000,-0.300000,0.000000,-0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,____
10,10,1,220.000000,1.000000,5.820000,0.480000,-0.100000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
11,11,1,55.000000,1.000000,1.000000,0.900003,-0.100000,0.000000,-0.346155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
12,12,1,200.000000,1.000000,4.000000,0.850015,-0.212504,0.000000,-0.425007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
13,13,1,240.000000,1.000000,5.000000,0.500000,-0.100000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
14,14,1,300.000000,1.000000,6.560000,0.000000,-0.449987,0.899974,-0.192852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
15,15,1,170.000000,2.000000,10.000000,0.850000,-0.300000,0.000000,-0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
16,16,1,220.000000,1.000000,6.000000,0.800000,-0.213333,0.000000,-0.533333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
17,17,1,300.000000,1.000000,7.610000,0.874971,-0.184204,0.000000,-0.368409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
18,18,1,60.000000,1.000000,1.000000,0.600000,-0.150000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,____
19,19,1,270.000000,2.000000,8.000000,0.875018,-0.218755,0.000000,-0.437509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
20,20,1,300.000000,1.000000,6.670000,0.900022,-0.150004,0.000000,-0.337508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
21,21,1,40.000000,1.000000,1.000000,0.875912,-0.145985,0.000000,-0.437956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
22,22,1,270.000000,2.000000,8.000000,1.500000,-0.375000,0.000000,-0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
23,23,1,50.000000,1.000000,1.000000,0.849979,-0.212495,0.000000,-0.424989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
24,24,1,35.000000,1.000000,1.000000,0.849951,-0.294214,0.000000,-0.490356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
25,25,1,630.000000,3.000000,21.000000,1.210121,-0.220022,0.000000,-0.550055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
26,26,1,300.000000,1.000000,7.160000,0.850007,-0.065385,0.000000,-0.261540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
27,27,1,60.000000,1.000000,1.000000,0.900002,-0.163637,0.000000,-0.327273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,____
28,28,1,0.700000,1.000000,1.000000,0.879765,-0.175953,0.000000,-0.366569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
29,29,1,200.000000,2.000000,8.000000,0.850015,-0.212504,0.000000,-0.531259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
30,30,1,200.000000,1.000000,4.000000,0.900144,-0.240038,0.000000,-0.480077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
31,31,3,20.000000,1.000000,3.000000,0.000000,-0.250000,0.250000,-0.200000,0.500000,-0.175000,0.750000,-0.150000,1.000000,-0.150000,bpavr1112
32,32,3,20.000000,1.000000,3.000000,0.000000,-0.250000,0.250000,-0.250000,0.500000,-0.225000,0.750000,-0.200000,1.000000,-0.175000,bpavr1112
33,33,3,20.000000,1.000000,3.000000,0.000000,-0.125000,0.250000,-0.100000,0.500000,-0.100000,0.750000,-0.100000,1.000000,-0.075000,bpavr1112
34,34,3,20.000000,1.000000,3.000000,0.000000,-0.384615,0.384615,-0.192308,0.461538,-0.269230,0.769231,-0.192308,1.000000,-0.076923,bpavr1112
35,35,1,20.000000,1.000000,3.000000,0.800000,-0.160000,0.000000,-0.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,bpavr1112
36,36,3,20.000000,1.000000,3.000000,0.000000,-0.641000,0.128200,-0.160300,0.192300,-0.224400,0.641000,-0.160300,0.833300,-0.076900,DC-HYD_
37,37,3,20.000000,1.000000,3.000000,0.000000,-0.319000,0.425532,-0.276596,0.638298,-0.255319,0.744681,-0.234043,0.851064,-0.212766,bpavr1112
38,38,3,20.000000,1.000000,3.000000,0.000000,-0.182900,0.228600,-0.182900,0.457100,-0.182900,0.685700,-0.182900,1.000000,0.000000,bpavr1112  : BPA__________Xc ____0.04__0____2018/4/3
39,39,3,20.000000,1.000000,3.000000,0.800000,-0.182900,0.228600,-0.182900,0.457100,-0.182900,0.685700,-0.182900,1.000000,0.000000,bpavr1112//  BPA__________Xc ____0.04__0____2018/4/3
40,40,3,20.000000,1.000000,3.000000,0.000000,-0.114300,0.228600,-0.114300,0.457100,-0.114300,0.685700,-0.114300,1.000000,0.000000,bpavr1112_ ___ XC=-0.04__0
41,41,1,20.000000,1.000000,3.000000,0.800000,-0.104000,0.000000,-0.208000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,bpavr1112
42,42,3,20.000000,1.000000,3.000000,0.000000,-0.800000,0.160000,-0.200000,0.240000,-0.280000,0.800000,-0.200000,1.040000,-0.096000,bpavr1112
43,43,1,20.000000,1.000000,3.000000,0.800000,-0.100000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,bpavr1112
44,44,3,20.000000,1.000000,3.000000,0.000000,-0.170068,0.034013,-0.042517,0.051020,-0.059524,0.170068,-0.042517,0.221088,-0.020408,bpavr1112
45,45,1,20.000000,1.000000,3.000000,1.000000,-0.120000,0.000000,-0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,bpavr1112
46,46,1,20.000000,1.000000,3.000000,0.850340,-0.164629,0.000000,-0.397959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,bpavr1112
47,47,3,20.000000,1.000000,3.000000,0.000000,-0.296736,0.059347,-0.074184,0.089020,-0.103858,0.296736,-0.074184,0.385757,-0.035608,bpavr1112
48,48,3,20.000000,1.000000,3.000000,0.000000,-0.113300,0.425000,-0.113300,0.637500,-0.113300,0.800400,-0.113300,1.000000,0.000000,bpavr1112
49,49,1,60.000000,1.000000,1.000000,0.875012,-0.138160,0.000000,-0.276319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,__1-#4
50,50,1,30.000000,1.000000,1.000000,0.849858,-0.212465,0.000000,-0.424929,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,__#5
51,51,1,30.000000,1.000000,1.000000,0.254994,-0.063748,0.000000,-0.127497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
52,52,1,200.000000,1.000000,5.670000,0.650000,-0.030000,0.000000,-0.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
53,53,1,260.000000,1.000000,6.560000,0.750000,-0.187500,0.000000,-0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,___
54,54,1,60.000000,1.000000,1.000000,0.440000,-0.060000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
55,55,1,30.000000,1.000000,1.000000,0.500000,-0.100000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
56,56,1,310.000000,1.000000,7.160000,0.500000,-0.150000,0.000000,-0.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
57,57,1,200.000000,2.000000,8.000000,0.849993,-0.254998,0.000000,-0.509996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
58,58,1,180.000000,2.000000,8.000000,0.850051,-0.255015,0.000000,-0.425026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
59,59,1,290.000000,1.000000,7.010000,0.800000,-0.266667,0.000000,-0.533333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
60,60,1,200.000000,1.000000,4.000000,0.850077,-0.257599,0.000000,-0.515198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_____
61,61,3,20.000000,1.000000,3.000000,0.000000,-0.128000,0.480000,-0.128000,0.720000,-0.128000,0.889600,-0.128000,1.201400,0.000000,__#1
62,62,3,20.000000,1.000000,3.000000,0.000000,-0.256000,0.320000,-0.256000,0.640000,-0.256000,0.960000,-0.256000,1.408000,0.000000,_30_____