ID,Par_No,k_rotate,k_power,k_voltage,t_measure,t_washout1,t_washout2,t1_shift,t2_shift,t3_shift,t4_shift,t5_shift,t6_shift,vs_max,vs_min,Note
161,161,0.000000,0.638000,0.000000,0.020000,5.000000,9999.000000,0.300000,4.000000,0.200000,0.020000,0.100000,0.100000,0.050000,-0.050000,
162,162,0.000000,0.426000,0.000000,0.020000,6.000000,9999.000000,0.300000,3.000000,0.100000,0.030000,0.100000,0.100000,0.050000,-0.050000,
163,163,0.000000,0.426000,0.000000,0.020000,6.000000,9999.000000,0.300000,3.000000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,
164,164,0.000000,0.168000,0.000000,5.000000,5.000000,9999.000000,0.300000,0.050000,0.300000,0.050000,0.100000,0.030000,0.100000,-0.100000,
165,165,0.000000,0.168000,0.000000,4.000000,4.000000,9999.000000,0.300000,0.040000,0.200000,0.040000,0.100000,0.100000,0.100000,-0.100000,
166,166,0.000000,0.966000,0.969000,0.020000,5.000000,9999.000000,0.200000,6.000000,0.200000,0.020000,1.000000,1.000000,0.050000,-0.050000,
167,167,0.000000,1.648000,1.648000,5.000000,5.000000,9999.000000,0.150000,0.015000,0.200000,0.020000,0.100000,0.100000,0.100000,-0.100000,
168,168,0.000000,1.277000,1.277000,0.020000,8.000000,9999.000000,0.350000,4.000000,0.400000,0.080000,1.000000,1.000000,0.050000,-0.050000,
169,169,0.000000,0.202400,0.000000,0.020000,5.000000,999.000000,0.250000,4.100000,0.120000,0.020000,0.200000,0.200000,0.050000,-0.050000,___01
170,170,0.000000,1.225000,0.000000,0.030000,0.800000,9999.000000,0.210000,2.200000,1.000000,1.000000,1.000000,1.000000,0.050000,-0.050000,
171,171,0.000000,0.850000,0.850000,5.000000,5.000000,9999.000000,0.200000,0.020000,0.200000,0.020000,0.100000,0.100000,0.050000,-0.050000,
172,172,0.000000,0.354000,0.354000,2.000000,2.000000,9999.000000,0.200000,0.040000,0.380000,0.140000,1.000000,1.000000,0.100000,-0.100000,
173,173,0.000000,1.013000,0.000000,5.000000,5.000000,9999.000000,0.200000,0.035000,0.150000,0.030000,1.000000,1.000000,0.050000,-0.050000,
174,174,0.000000,0.212800,0.212800,0.020000,8.000000,9999.000000,0.500000,6.000000,0.500000,0.010000,0.100000,0.100000,0.050000,-0.050000,
175,175,0.000000,0.638000,0.638000,0.020000,4.000000,9999.000000,0.300000,6.000000,0.200000,0.020000,1.000000,1.000000,0.050000,-0.050000,
176,176,0.000000,0.340000,0.340000,0.020000,6.000000,9999.000000,0.300000,6.000000,0.100000,0.020000,0.200000,0.020000,0.050000,-0.050000,
177,177,0.000000,0.297900,0.297900,0.020000,6.000000,9999.000000,0.250000,7.000000,0.600000,0.010000,1.000000,1.000000,0.050000,-0.050000,___G4
178,178,0.000000,0.298000,0.000000,0.020000,6.000000,9999.000000,0.250000,7.000000,0.600000,0.010000,1.000000,1.000000,0.050000,-0.050000,
179,179,0.000000,0.298000,0.298000,0.020000,6.000000,9999.000000,0.250000,7.000000,0.600000,0.010000,0.100000,0.100000,0.050000,-0.050000,
180,180,0.000000,0.415000,0.415000,5.000000,5.000000,9999.000000,0.200000,0.035000,0.300000,0.030000,0.100000,0.100000,0.050000,-0.050000,
181,181,0.000000,0.793200,0.000000,0.020000,4.000000,999.989990,0.150000,3.000000,0.100000,0.080000,1.000000,1.000000,0.050000,-0.050000,___03
182,182,0.000000,0.793200,0.000000,0.020000,4.000000,999.989990,0.140000,1.400000,0.100000,0.020000,1.000000,1.000000,0.050000,-0.050000,___04
183,183,0.000000,0.460000,0.000000,0.020000,2.750000,2.750000,0.000000,0.020000,0.350000,1.250000,0.100000,0.100000,0.050000,-0.050000,___1_5
184,184,0.000000,0.708000,0.000000,0.020000,10.000000,10.000000,2.000000,8.000000,1.000000,8.000000,0.080000,0.070000,0.050000,-0.050000,___02
185,185,0.000000,0.510638,0.000000,0.020000,6.000000,9999.000000,0.300000,5.000000,0.300000,0.030000,0.100000,0.100000,0.050000,-0.050000,
186,186,0.000000,0.085106,0.000000,0.020000,6.000000,9999.000000,0.300000,5.000000,0.300000,0.030000,0.100000,0.100000,0.050000,-0.050000,
187,187,0.000000,0.623290,0.000000,0.020000,6.000000,9999.000000,0.250000,5.000000,0.100000,0.010000,0.500000,0.500000,0.050000,-0.050000,
188,188,0.000000,0.567000,0.000000,0.020000,6.000000,9999.000000,0.250000,5.000000,0.100000,0.010000,0.100000,0.100000,0.050000,-0.050000,
189,189,0.000000,0.682000,0.000000,0.020000,6.000000,9999.000000,0.330000,3.500000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,
190,190,0.000000,1.133000,0.000000,0.020000,6.000000,9999.000000,0.200000,9.000000,0.350000,0.030000,0.800000,0.800000,0.050000,-0.050000,
191,191,0.000000,0.425000,0.000000,0.020000,6.000000,9999.000000,0.300000,4.500000,0.300000,0.020000,0.800000,0.800000,0.050000,-0.050000,
192,192,0.000000,0.728000,0.000000,0.020000,8.000000,9999.000000,0.300000,4.700000,0.170000,0.030000,0.010000,0.010000,0.100000,-0.100000,____#5
193,193,0.000000,0.436893,0.000000,0.020000,6.000000,9999.000000,0.400000,6.000000,0.180000,0.030000,0.100000,0.100000,0.050000,-0.050000,
194,194,0.000000,1.133100,0.000000,0.020000,1.500000,99999.000000,0.150000,4.500000,0.200000,0.080000,0.800000,1.200000,0.050000,-0.050000,___1-2G
195,195,0.000000,25.500000,0.000000,0.020000,6.000000,999999.000000,0.210000,7.000000,0.100000,0.020000,1.000000,1.000000,3.000000,-3.000000,___2
196,196,0.000000,0.607000,0.000000,0.020000,6.000000,99999.000000,0.200000,7.000000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,____#1
197,197,0.000000,0.354000,0.000000,0.018000,5.500000,99999.000000,0.100000,0.020000,0.400000,9.000000,0.300000,0.030000,0.050000,-0.050000,__#2#1
198,198,0.000000,0.425000,0.000000,0.020000,6.000000,999999.000000,0.400000,7.000000,0.300000,0.030000,0.100000,0.100000,0.050000,-0.050000,__#1
199,199,0.000000,16.190001,0.000000,0.020000,6.000000,9999.000000,0.260000,7.000000,0.200000,0.030000,1.000000,1.000000,0.100000,-0.100000,____#1
200,200,0.000000,40.000000,0.000000,0.020000,6.000000,99999.000000,0.260000,7.000000,0.200000,0.030000,0.100000,0.100000,0.100000,-0.100000,___2G
201,201,0.000000,17.000000,0.000000,0.020000,7.000000,9999.000000,0.230000,8.000000,0.250000,0.030000,1.000000,1.000000,0.100000,-0.100000,___#1#2
202,202,0.000000,0.085000,0.000000,0.020000,5.000000,99999.000000,0.500000,8.000000,0.400000,0.020000,1.000000,1.000000,0.050000,-0.050000,____#3
203,203,0.000000,0.255000,0.000000,0.020000,5.000000,99999.000000,0.500000,8.000000,0.400000,0.020000,1.000000,1.000000,0.050000,-0.050000,___4#5
204,204,0.000000,0.812000,0.812000,5.000000,5.000000,9999.000000,0.150000,0.020000,0.200000,0.020000,0.100000,0.100000,0.100000,-0.100000,
205,205,0.000000,0.309000,0.000000,0.020000,5.000000,9999.000000,0.200000,2.000000,0.150000,0.020000,0.010000,0.010000,0.100000,-0.100000,
206,206,0.000000,0.170000,0.170000,0.020000,5.000000,9999.000000,0.200000,6.000000,0.150000,0.020000,0.200000,0.030000,0.050000,-0.050000,
207,207,0.000000,0.283000,0.283000,0.020000,5.000000,9999.000000,0.400000,6.000000,0.100000,0.020000,1.000000,1.000000,0.050000,-0.050000,
208,208,0.000000,0.425000,0.425000,0.020000,5.000000,9999.000000,0.400000,6.000000,0.100000,0.020000,0.100000,0.100000,0.050000,-0.050000,
209,209,0.000000,0.142000,0.142000,0.040000,6.000000,9999.000000,0.300000,8.000000,0.700000,0.030000,1.000000,1.000000,0.050000,-0.050000,
210,210,0.000000,0.567000,0.567000,0.040000,5.000000,9999.000000,0.450000,6.000000,0.100000,0.020000,1.000000,1.000000,0.050000,-0.050000,
211,211,0.000000,0.425000,0.425000,0.020000,5.000000,9999.000000,0.450000,6.000000,0.100000,0.020000,1.000000,1.000000,0.050000,-0.050000,
212,212,0.000000,4.444440,0.000000,0.020000,4.000000,999999.000000,0.260000,6.000000,0.050000,0.010000,0.050000,0.010000,0.050000,-0.050000,__#5
213,213,0.000000,0.155039,0.000000,0.020000,3.000000,9999.000000,0.300000,1.800000,0.190000,0.020000,0.100000,0.100000,0.050000,-0.050000,___G1
214,214,0.000000,0.310078,0.000000,0.020000,4.000000,9999.000000,0.800000,4.000000,0.150000,0.020000,0.100000,0.100000,0.050000,-0.050000,___G2
215,215,0.000000,0.425170,0.000000,0.020000,4.000000,9999.000000,0.200000,2.500000,0.350000,0.030000,0.100000,0.100000,0.100000,-0.100000,___G3
216,216,0.000000,0.772800,0.000000,0.020000,2.000000,9999.000000,0.250000,3.000000,0.200000,0.030000,0.100000,0.100000,0.100000,-0.100000,___G4
217,217,0.000000,1.360544,0.000000,0.020000,4.000000,9999.900391,0.200000,1.200000,0.300000,0.040000,0.100000,0.100000,0.100000,-0.100000,___G5
218,218,0.000000,1.574000,0.000000,0.020000,2.000000,999999.000000,0.350000,6.000000,0.060000,0.040000,1.000000,1.000000,0.050000,-0.050000,__#1
219,219,0.000000,2.204000,0.000000,0.020000,2.000000,999999.000000,0.250000,6.000000,0.070000,0.040000,1.000000,1.000000,0.050000,-0.050000,__#2
220,220,0.000000,128.000000,0.000000,0.020000,9999.000000,2.000000,0.100000,4.000000,0.100000,0.030000,0.100000,0.100000,0.050000,-0.050000,
221,221,0.000000,0.134730,0.000000,0.020000,2.000000,99999.000000,0.100000,0.150000,0.080000,0.050000,1.000000,1.000000,0.100000,-0.100000,__2J
222,222,0.000000,1.482152,0.000000,2.000000,2.000000,99999.000000,0.500000,3.000000,0.800000,0.040000,1.000000,1.000000,0.050000,-0.050000,__1J
223,223,0.000000,0.339943,0.000000,0.020000,6.000000,99999.000000,0.200000,10.000000,0.500000,0.030000,1.000000,1.000000,0.050000,-0.050000,__3J
224,224,0.000000,2.833000,0.000000,0.020000,6.000000,99999.000000,0.200000,4.000000,0.500000,0.040000,0.000000,0.020000,0.050000,-0.050000,__6J
225,225,0.000000,51.136002,0.000000,0.002000,6.000000,9999999.000000,0.170000,3.000000,0.100000,0.020000,0.100000,0.100000,1.000000,-1.000000,__#1
226,226,0.000000,33.990002,0.000000,0.002000,6.000000,9999999.000000,0.170000,3.000000,0.100000,0.020000,0.100000,0.100000,1.000000,-1.000000,__#2
227,227,0.000000,0.943400,0.000000,0.020000,6.000000,6.000000,0.200000,2.300000,0.100000,0.040000,0.100000,0.100000,0.050000,-0.050000,","
228,228,0.000000,1.886800,0.000000,0.020000,6.000000,6.000000,0.290000,3.900000,0.080000,0.070000,0.010000,0.010000,0.020000,-0.020000,__#1
229,229,0.020000,1.257900,0.000000,0.020000,4.000000,4.000000,0.190000,3.500000,0.100000,0.030000,0.010000,0.010000,0.050000,-0.050000,24_25___
230,230,0.000000,0.657894,0.000000,0.020000,4.000000,99999.000000,0.300000,4.000000,0.200000,0.020000,1.000000,1.000000,0.050000,-0.050000,__2J
231,231,0.000000,20.240000,0.000000,0.020000,5.000000,9999999.000000,0.150000,2.000000,0.100000,0.020000,0.500000,0.500000,5.000000,-5.000000,___1
232,232,0.000000,10.120000,0.000000,0.020000,5.000000,9999999.000000,0.150000,2.000000,0.100000,0.020000,0.500000,0.500000,0.050000,-0.050000,___1
233,233,0.000000,0.419210,0.000000,4.000000,4.000000,9999.000000,0.300000,0.010000,0.300000,0.010000,1.000000,1.000000,0.100000,-0.100000,__G6
234,234,0.000000,2.326000,0.000000,0.002000,6.000000,9999.000000,0.230000,6.800000,0.100000,0.080000,0.100000,0.100000,0.050000,-0.050000,___#2
235,235,0.000000,2.326000,0.000000,0.020000,6.000000,99999.000000,0.230000,6.800000,0.100000,8.000000,0.010000,0.010000,0.050000,-0.050000,__1J
236,236,0.000000,0.713881,0.000000,6.000000,6.000000,9999999.000000,0.200000,0.030000,0.200000,0.030000,1.000000,1.000000,0.100000,-0.100000,__1J
237,237,0.000000,0.254900,0.000000,0.020000,6.000000,9999999.000000,0.060000,0.500000,0.100000,0.020000,0.500000,0.500000,0.050000,-0.050000,__1
238,238,0.000000,0.850000,0.000000,0.020000,6.000000,9999.000000,0.300000,8.000000,0.250000,0.030000,0.100000,0.100000,0.050000,-0.050000,__#3
239,239,0.000000,1.700000,0.000000,0.020000,4.000000,99999.000000,0.250000,8.000000,0.200000,0.020000,0.100000,0.100000,0.050000,-0.050000,__#4
240,240,0.000000,20.240000,0.000000,0.020000,5.000000,9999999.000000,0.150000,2.000000,0.100000,0.020000,0.000000,0.000000,0.020000,-0.020000,_____#2
241,241,0.000000,0.944584,0.000000,0.020000,8.000000,9999.000000,0.220000,3.600000,0.200000,0.010000,5.000000,5.000000,0.050000,-0.050000,___1
242,242,0.000000,0.757097,0.000000,0.020000,6.000000,9999.000000,0.220000,3.600000,0.300000,0.010000,0.010000,0.010000,0.050000,-0.050000,___2
243,243,0.000000,1.030390,0.000000,0.020000,4.000000,9999.000000,0.300000,8.000000,0.050000,0.020000,1.000000,1.000000,0.050000,-0.050000,
244,244,0.000000,0.397000,0.000000,0.020000,4.000000,9999.000000,0.380000,4.000000,0.100000,0.040000,1.000000,1.000000,0.050000,-0.050000,__6
245,245,0.000000,0.851000,0.000000,0.020000,9999.000000,10.000000,0.350000,4.000000,0.200000,0.050000,0.100000,0.100000,0.050000,-0.050000,__7
246,246,0.000000,1.275000,0.000000,0.020000,7.000000,9999.000000,0.100000,6.000000,0.300000,0.020000,0.100000,0.100000,0.050000,-0.050000,__1_
247,247,0.000000,0.425000,0.000000,0.020000,6.000000,9999.990234,0.260000,2.800000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,__2_
248,248,0.000000,5.530000,0.000000,0.020000,4.000000,99999.000000,0.100000,0.050000,0.200000,2.500000,0.200000,0.020000,0.050000,-0.050000,__5
249,249,0.000000,1.030000,0.000000,0.020000,4.000000,9999.000000,0.200000,6.000000,0.100000,0.010000,0.200000,0.020000,0.050000,-0.050000,__#6_
250,250,0.000000,3.780000,0.000000,0.020000,9999.000000,4.000000,0.260000,6.000000,0.050000,0.010000,0.050000,0.010000,0.050000,-0.050000,__#5
251,251,0.000000,5.040000,0.000000,0.020000,9999.000000,4.000000,0.080000,6.000000,0.090000,0.015000,0.090000,0.015000,0.050000,-0.050000,__#6
252,252,0.000000,0.500000,0.000000,0.020000,6.000000,9999.000000,0.340000,3.400000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,__#1
253,253,0.000000,0.400000,0.000000,0.020000,6.000000,9999.000000,0.300000,4.500000,0.300000,0.030000,0.100000,0.100000,0.050000,-0.050000,__2_
254,254,0.000000,0.340000,0.000000,0.000000,6.000000,9999.000000,0.250000,4.000000,0.500000,0.010000,0.100000,0.100000,0.050000,-0.050000,__#4
255,255,0.000000,0.340000,0.000000,0.040000,6.000000,9999.000000,0.200000,5.000000,0.500000,0.010000,0.100000,0.100000,0.050000,-0.050000,__6__
256,256,0.000000,0.340000,0.000000,0.040000,6.000000,9999.000000,0.250000,4.000000,0.500000,0.010000,0.100000,0.100000,0.050000,-0.050000,__#4
257,257,0.000000,0.485000,0.000000,0.020000,6.000000,9999.000000,0.230000,3.000000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,___#1
258,258,0.000000,0.267000,0.000000,0.020000,6.000000,9999.000000,0.380000,3.800000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,___#1
259,259,0.000000,0.255000,0.000000,0.040000,6.000000,9999999.000000,0.400000,5.000000,0.500000,0.020000,1.000000,1.000000,0.050000,-0.050000,___1
260,260,0.000000,0.340000,0.000000,0.040000,6.000000,99999.000000,0.400000,5.000000,0.400000,0.030000,1.000000,1.000000,0.050000,-0.050000,___G2
261,261,0.000000,0.670000,0.000000,0.070000,10.000000,9999.000000,0.350000,4.000000,0.200000,0.050000,0.100000,0.100000,0.050000,-0.050000,__
262,262,0.000000,0.300000,0.000000,0.020000,6.000000,9999.000000,0.200000,3.500000,0.200000,0.050000,0.100000,0.100000,0.050000,-0.050000,__3_
263,263,0.000000,0.737000,0.000000,0.020000,9999.000000,6.000000,0.400000,4.000000,0.200000,0.020000,0.010000,0.010000,0.050000,-0.050000,____#1
264,264,0.000000,0.850000,0.000000,0.020000,9999.000000,6.000000,0.400000,4.000000,0.200000,0.020000,0.010000,0.010000,0.050000,-0.050000,____#3
265,265,0.000000,0.412000,0.000000,0.020000,10.000000,99999.000000,0.220000,2.800000,0.200000,0.030000,0.010000,0.010000,0.050000,-0.050000,__#1
266,266,0.000000,0.143000,0.000000,0.020000,4.000000,9999.000000,0.400000,6.000000,2.000000,0.040000,0.100000,0.100000,0.050000,-0.050000,___
267,267,0.000000,0.638000,0.000000,0.020000,6.000000,6.000000,0.100000,0.030000,0.500000,5.000000,0.100000,0.030000,0.050000,-0.050000,___#2
268,268,0.000000,1.275000,0.000000,0.020000,4.000000,9999.000000,0.250000,4.000000,0.200000,0.030000,0.010000,0.010000,0.050000,-0.050000,___#2
269,269,0.000000,0.765000,0.000000,0.020000,9999.000000,5.000000,0.280000,2.800000,0.200000,0.030000,0.010000,0.010000,0.050000,-0.050000,__#1
270,270,0.000000,0.637500,0.000000,0.020000,9999.000000,6.000000,0.200000,3.500000,0.220000,0.020000,0.100000,0.100000,0.050000,-0.050000,__#1
271,271,0.000000,0.510000,0.000000,0.020000,9999.000000,6.000000,0.200000,3.500000,0.220000,0.020000,0.100000,0.100000,0.050000,-0.050000,__#2
272,272,0.000000,0.486000,0.000000,0.020000,6.000000,9999.000000,0.200000,2.200000,0.100000,0.070000,0.010000,0.010000,0.050000,-0.050000,__#7
273,273,0.000000,1.275000,0.000000,0.020000,6.000000,6.000000,0.200000,0.020000,0.070000,7.000000,0.010000,0.010000,0.050000,-0.050000,__7G
274,274,0.000000,0.544000,0.000000,0.020000,9999.000000,10.000000,0.270000,3.000000,0.220000,0.010000,0.100000,0.100000,0.050000,-0.050000,__#1
275,275,0.000000,0.503700,0.000000,0.040000,10.000000,9999.000000,0.270000,3.000000,0.220000,0.010000,0.000000,0.000000,0.050000,-0.050000,__#2
276,276,0.000000,8.000000,0.000000,0.030000,6.000000,10000000.000000,0.280000,2.800000,0.200000,0.030000,1.000000,1.000000,0.100000,-0.100000,___#1
277,277,0.000000,2.000000,0.000000,0.020000,6.000000,10000000.000000,0.200000,3.800000,0.100000,0.010000,0.100000,0.100000,0.050000,-0.050000,__#3
278,278,0.000000,56.660000,0.000000,0.020000,10.000000,9999.000000,0.160000,3.500000,0.120000,0.050000,0.010000,0.010000,0.050000,-0.050000,__#5___
279,279,0.000000,0.200000,0.000000,0.020000,9999.000000,6.000000,0.300000,5.000000,0.400000,0.030000,0.400000,0.030000,0.050000,-0.050000,__#1
280,280,0.000000,0.886000,0.000000,0.020000,6.000000,9999.000000,0.220000,3.600000,0.320000,0.010000,0.010000,0.010000,0.050000,-0.050000,__#1
281,281,0.000000,0.759500,0.000000,0.020000,6.000000,9999.000000,0.220000,3.600000,0.320000,0.010000,0.010000,0.010000,0.050000,-0.050000,__#2
282,282,0.000000,1.064000,0.000000,0.020000,6.000000,9999.000000,0.300000,4.000000,0.100000,0.020000,0.100000,0.100000,0.050000,-0.050000,____
283,283,0.000000,0.765000,0.000000,0.020000,10.000000,9999.000000,0.390000,6.000000,0.140000,0.040000,0.000000,0.000000,0.050000,-0.050000,__12
284,284,0.000000,0.570000,0.000000,0.020000,5.000000,999999.000000,0.130000,4.000000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,____G1
285,285,0.000000,0.667700,0.000000,0.020000,5.000000,9999999.000000,0.130000,4.000000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,____G2
286,286,0.000000,1.159090,0.000000,0.020000,6.000000,6.000000,0.200000,0.030000,0.200000,0.030000,0.070000,7.000000,0.050000,-0.050000,__G1
287,287,0.000000,0.425000,0.000000,0.020000,6.000000,99999.000000,0.180000,1.800000,0.100000,0.030000,0.100000,0.100000,0.050000,-0.050000,__G5
288,288,0.000000,1.700000,0.000000,0.020000,4.000000,99999.000000,0.060000,7.000000,0.250000,0.030000,0.100000,0.100000,0.050000,-0.050000,__G3
289,289,0.000000,3.000000,0.000000,0.020000,5.000000,999999.000000,0.070000,7.000000,0.300000,0.030000,0.100000,0.100000,0.050000,-0.050000,___G7
290,290,0.000000,2.000000,0.000000,0.100000,4.000000,999999.000000,0.300000,6.000000,0.300000,0.020000,1.000000,1.000000,0.050000,-0.050000,____G8
291,291,0.000000,0.424930,0.000000,0.020000,6.000000,99999.000000,0.340000,3.400000,0.200000,0.020000,0.100000,0.100000,0.050000,-0.050000,
292,292,0.000000,1.429000,0.000000,0.070000,10.000000,9999.000000,0.350000,4.000000,0.200000,0.050000,0.100000,0.100000,0.050000,-0.050000,__11_
293,293,0.000000,0.500000,0.000000,0.020000,6.000000,999999.000000,1.600000,4.000000,0.080000,0.010000,0.200000,0.030000,0.050000,-0.050000,
294,294,0.000000,0.670000,0.000000,0.020000,4.000000,9999.000000,0.300000,4.200000,0.100000,0.020000,0.050000,0.050000,0.050000,-0.050000,__
295,295,0.000000,0.291000,0.000000,0.020000,6.000000,5.000000,0.200000,2.500000,0.300000,0.040000,0.200000,0.030000,0.050000,-0.050000,__3
296,296,0.000000,0.360000,0.000000,0.020000,9999.000000,4.000000,0.800000,8.000000,0.200000,0.060000,0.100000,0.100000,0.050000,-0.050000,__
297,297,0.000000,0.510000,0.000000,0.020000,6.000000,9999.000000,0.260000,3.000000,0.200000,0.030000,0.010000,0.010000,0.050000,-0.050000,__#01
298,298,0.000000,0.886076,0.000000,0.020000,6.000000,999999.000000,0.220000,3.600000,0.320000,0.010000,0.100000,0.100000,0.050000,-0.050000,__#1
299,299,0.000000,2.000000,0.000000,0.030000,6.000000,10000000.000000,0.280000,2.800000,0.200000,0.030000,1.000000,1.000000,0.100000,-0.100000,___#1
300,300,0.000000,0.629600,0.000000,0.020000,6.000000,9999.000000,0.330000,3.300000,0.300000,0.030000,0.010000,0.010000,0.050000,-0.050000,__#2
301,301,0.000000,0.629600,0.000000,0.010000,6.000000,9999.000000,0.330000,3.300000,0.300000,0.030000,0.010000,0.010000,0.050000,-0.050000,__#2
302,302,0.000000,1.000000,0.000000,0.020000,6.000000,9999.000000,0.330000,3.300000,0.300000,0.030000,0.100000,0.030000,0.050000,-0.050000,__#1
303,303,0.000000,0.579700,0.000000,0.020000,6.000000,9999.000000,0.200000,2.000000,0.200000,0.030000,0.010000,0.010000,0.050000,-0.050000,__
304,304,0.000000,0.145138,0.000000,0.020000,3.000000,9999.000000,0.250000,3.000000,0.500000,0.020000,0.100000,0.100000,0.050000,-0.050000,___#2
305,305,0.000000,0.045000,0.000000,0.020000,6.000000,9999.000000,0.200000,5.000000,0.500000,0.040000,0.100000,0.100000,0.050000,-0.050000,___#4
306,306,0.000000,0.600000,0.000000,0.020000,6.000000,10000000.000000,0.260000,3.000000,0.200000,0.030000,1.000000,1.000000,0.050000,-0.050000,__#01
307,307,0.000000,0.455772,0.455772,5.000000,5.000000,9999.000000,0.200000,0.035000,0.300000,0.030000,0.100000,0.100000,0.050000,-0.050000,BYHOFO
308,308,0.000000,0.135135,0.135135,0.020000,3.000000,9999.000000,0.796000,3.180000,0.484000,0.048000,1.000000,1.000000,0.100000,-0.100000,
309,309,0.000000,0.126582,0.000000,0.020000,4.000000,9999.000000,0.100000,0.090000,0.100000,0.030000,0.100000,0.100000,0.050000,-0.050000,
310,310,0.000000,0.126582,0.000000,0.020000,4.000000,9999.000000,0.100000,0.070000,0.100000,0.090000,0.100000,0.100000,0.050000,-0.050000,
311,311,0.000000,0.113314,0.000000,0.020000,8.000000,9999.000000,0.600000,3.500000,0.300000,0.030000,0.300000,0.030000,0.050000,-0.050000,
312,312,0.000000,0.113314,0.000000,0.020000,8.000000,9999.000000,0.200000,1.500000,0.300000,0.050000,0.300000,0.050000,0.050000,-0.050000,
313,313,0.000000,0.407216,0.000000,0.010000,6.000000,9999.000000,0.130000,2.000000,0.130000,0.010000,0.060000,0.060000,0.050000,-0.050000,
314,314,0.000000,0.102000,0.000000,0.020000,6.000000,9999.000000,0.280000,3.500000,0.220000,0.020000,0.100000,0.100000,0.050000,-0.050000,
315,315,0.000000,0.128866,0.000000,0.020000,4.000000,9999.000000,0.010000,0.010000,0.300000,2.000000,0.400000,0.060000,0.050000,-0.050000,
316,316,0.000000,0.149925,0.149925,0.010000,1.500000,9999.000000,0.180000,2.000000,0.180000,0.080000,0.180000,0.080000,0.050000,-0.050000,
317,317,0.000000,0.138504,0.138504,0.020000,1.500000,9999.000000,0.300000,3.000000,0.400000,0.040000,0.010000,0.010000,0.050000,-0.050000,
318,318,0.000000,0.138504,0.138504,0.020000,3.000000,9999.000000,0.365000,1.460000,0.388000,0.039000,0.010000,0.020000,0.100000,-0.100000,
319,319,0.000000,0.773196,0.000000,0.020000,4.000000,9999.000000,0.120000,2.000000,0.150000,0.020000,1.000000,1.000000,0.050000,-0.050000,
320,320,0.000000,0.773196,0.000000,0.020000,4.000000,9999.000000,0.160000,2.000000,0.160000,0.020000,1.000000,1.000000,0.050000,-0.050000,
321,321,0.000000,1.160000,0.000000,0.020000,4.000000,9999.000000,0.140000,7.000000,0.100000,0.020000,1.000000,1.000000,0.050000,-0.050000,
322,322,0.000000,1.163000,1.163000,0.020000,4.000000,9999.000000,0.170000,7.000000,0.100000,0.040000,0.010000,0.010000,0.050000,-0.050000,