ID,Par_No,Tr,Kr,Dfrmax,Dfrmin,Drplus,Drminus,Tr1,Tr2,Tr3,Tr4,Tr5,Kr1,Ti,Ki,Dfimax,Dfimin,Diplus,Diminus,Ti1,Ti2,Ti3,Ti4,Ti5,Ki1,Pmodmax,Pmodmin,Note
8,4,0.050000,1.000000,1.000000,-1.000000,0.070000,-0.070000,1000.000000,1000.000000,0.000000,0.000000,0.500000,4000.000000,0.050000,1.000000,99999.000000,-99999.000000,0.070000,-0.070000,99999.000000,99999.000000,0.000000,0.000000,0.500000,0.000000,400.000000,-800.000000,__FC-__
9,5,0.050000,1.000000,1.000000,-1.000000,0.070000,-0.070000,1000.000000,1000.000000,0.000000,0.000000,0.500000,3200.000000,0.050000,1.000000,99999.000000,-99999.000000,0.070000,-0.070000,99999.000000,99999.000000,0.000000,0.000000,0.500000,0.000000,320.000000,-640.000000,__FC-__
10,6,0.050000,1.000000,1.000000,-1.000000,0.070000,-0.070000,1000.000000,1000.000000,0.000000,0.000000,0.500000,3600.000000,0.050000,1.000000,99999.000000,-99999.000000,0.070000,-0.070000,99999.000000,99999.000000,0.000000,0.000000,0.500000,0.000000,360.000000,-720.000000,__FC-__
11,7,0.050000,1.000000,1.000000,-1.000000,0.070000,-0.070000,1000.000000,1000.000000,0.000000,0.000000,0.500000,4000.000000,0.050000,-1.000000,1.000000,-1.000000,0.050000,-0.050000,1.000000,5.000000,0.500000,0.100000,0.500000,0.000000,400.000000,-400.000000,__-__
12,8,0.050000,1.000000,1.000000,-1.000000,0.070000,-0.070000,1000.000000,1000.000000,0.000000,0.000000,0.500000,1500.000000,0.050000,-1.000000,1.000000,-1.000000,0.050000,-0.050000,1.000000,5.000000,0.500000,0.100000,0.500000,0.000000,150.000000,-150.000000,__-__
13,9,0.050000,1.000000,1.000000,-1.000000,0.070000,-0.070000,1000.000000,1000.000000,0.000000,0.000000,0.500000,3200.000000,0.050000,-1.000000,1.000000,-1.000000,0.050000,-0.050000,1.000000,5.000000,0.500000,0.100000,0.500000,0.000000,320.000000,-320.000000,__-__
14,10,0.050000,1.000000,1.000000,-1.000000,0.070000,-0.070000,1000.000000,1000.000000,0.000000,0.000000,0.500000,3600.000000,0.050000,-1.000000,1.000000,-1.000000,0.050000,-0.050000,1.000000,5.000000,0.500000,0.100000,0.500000,0.000000,360.000000,-360.000000,__-__0.07
15,11,0.050000,-1.000000,1.000000,-1.000000,0.070000,-0.070000,1.000000,5.000000,0.500000,0.100000,0.500000,0.000000,0.050000,1.000000,1.000000,-1.000000,0.070000,-0.070000,1000.000000,1000.000000,0.000000,0.000000,0.500000,1500.000000,150.000000,-150.000000,____FC
16,13,0.050000,1.000000,1.000000,-1.000000,0.070000,-0.070000,1000.000000,1000.000000,0.000000,0.000000,0.500000,3600.000000,0.050000,-1.000000,1.000000,-1.000000,0.050000,-0.050000,1.000000,5.000000,0.500000,0.100000,0.500000,0.000000,360.000000,-720.000000,__FC
17,14,0.050000,1.000000,1.000000,-1.000000,0.070000,-0.070000,1000.000000,1000.000000,0.000000,0.000000,0.500000,4000.000000,0.050000,-1.000000,1.000000,-1.000000,0.050000,-0.050000,1.000000,5.000000,0.500000,0.100000,0.500000,0.000000,400.000000,-800.000000,__FC
18,15,0.050000,-1.000000,1.000000,-1.000000,0.050000,-0.050000,1.000000,5.000000,0.500000,0.100000,0.500000,0.000000,0.050000,1.000000,1.000000,-1.000000,0.070000,-0.070000,1000.000000,1000.000000,0.000000,0.000000,0.500000,1500.000000,150.000000,-150.000000,____FC
19,16,0.050000,1.000000,1.000000,-1.000000,0.070000,-0.070000,1000.000000,1000.000000,0.000000,0.000000,0.500000,3200.000000,0.050000,-1.000000,1.000000,-1.000000,0.050000,-0.050000,1.000000,5.000000,0.500000,0.100000,0.500000,0.000000,320.000000,-640.000000,__FC
1,18,0.050000,1.000000,99999.000000,-99999.000000,0.070000,-0.070000,99999.000000,99999.000000,0.000000,0.000000,0.500000,3600.000000,0.050000,1.000000,99999.000000,-99999.000000,0.070000,-0.070000,99999.000000,99999.000000,0.000000,0.000000,0.500000,0.000000,360.000000,-720.000000,__FC
2,19,0.050000,1.000000,99999.000000,-99999.000000,0.070000,-0.070000,99999.000000,99999.000000,0.000000,0.000000,0.500000,4000.000000,0.050000,1.000000,99999.000000,-99999.000000,0.070000,-0.070000,99999.000000,99999.000000,0.000000,0.000000,0.500000,0.000000,400.000000,-800.000000,__FC
20,20,0.050000,1.000000,99999.000000,-99999.000000,0.070000,-0.070000,99999.000000,99999.000000,0.000000,0.000000,0.500000,125.000000,0.050000,1.000000,1.000000,-1.000000,0.030000,-0.030000,1.000000,5.000000,5.000000,0.100000,0.500000,0.000000,125.000000,-125.000000,___1
3,22,0.050000,1.000000,99999.000000,-99999.000000,0.070000,-0.070000,99999.000000,99999.000000,0.000000,0.000000,0.500000,3200.000000,0.050000,1.000000,99999.000000,-99999.000000,0.070000,-0.070000,99999.000000,99999.000000,0.000000,0.000000,0.500000,0.000000,320.000000,-640.000000,__FC
4,23,0.050000,1.000000,99999.000000,-99999.000000,0.070000,-0.070000,99999.000000,99999.000000,0.000000,0.000000,0.500000,1500.000000,0.050000,-1.000000,1.000000,-1.000000,0.050000,-0.050000,1.000000,5.000000,0.500000,0.100000,0.500000,0.000000,150.000000,-150.000000,__-__
21,24,0.050000,1.000000,99999.000000,-99999.000000,0.150000,-0.150000,99999.000000,99999.000000,0.000000,0.000000,0.500000,125.000000,0.050000,1.000000,1.000000,-1.000000,0.030000,-0.030000,1.000000,5.000000,5.000000,0.100000,0.500000,0.000000,125.000000,-125.000000,___1
5,25,0.050000,1.000000,99999.000000,-99999.000000,0.070000,-0.070000,99999.000000,99999.000000,0.000000,0.000000,0.500000,-1500.000000,0.050000,-1.000000,1.000000,-1.000000,0.050000,-0.050000,1.000000,5.000000,0.500000,0.100000,0.500000,0.000000,150.000000,-150.000000,__-__
6,26,0.050000,1.000000,99999.000000,-99999.000000,0.100000,-0.100000,99999.000000,99999.000000,0.000000,0.000000,0.500000,250.000000,0.050000,1.000000,1.000000,-1.000000,0.030000,-0.030000,1.000000,5.000000,5.000000,0.100000,0.500000,0.000000,125.000000,-125.000000,____
7,27,0.050000,1.000000,99999.000000,-99999.000000,0.150000,-0.150000,99999.000000,99999.000000,0.000000,0.000000,0.500000,250.000000,0.050000,1.000000,1.000000,-1.000000,0.030000,-0.030000,1.000000,5.000000,5.000000,0.100000,0.500000,0.000000,125.000000,-125.000000,____